,Rank,Bank Name,Market Cap (EUR€ Billion)
0,1,JPMorgan Chase,355.709
1,2,Industrial and Commercial Bank of China,314.108
2,3,Bank of America,296.017
3,4,Wells Fargo,280.259
4,5,China Construction Bank,234.206
5,6,HSBC Holdings PLC,199.513
6,7,Agricultural Bank of China,184.931
7,8,Citigroup Inc.,184.859
8,9,Bank of China,165.118
9,10,China Merchants Bank,111.568
10,11,Royal Bank of Canada,111.52
11,12,Banco Santander,105.271
12,13,Commonwealth Bank,102.115
13,14,Mitsubishi UFJ Financial Group,101.599
14,15,Toronto-Dominion Bank,98.677
15,16,BNP Paribas,93.954
16,17,Goldman Sachs,91.631
17,18,Sberbank of Russia,90.844
18,19,Morgan Stanley,90.672
19,20,U.S. Bancorp,86.038
20,21,HDFC Bank,90.99
21,22,Itaú Unibanco,78.436
22,23,Westpac,76.941
23,24,Scotiabank,71.833
24,25,ING Group,71.809
25,26,UBS,68.681
26,27,Charles Schwab,67.564
27,28,PNC Financial Services,65.736
28,29,Lloyds Banking Group,64.833
29,30,Sumitomo Mitsui Financial Group,61.261
30,31,Bank of Communications,61.034
31,32,Australia and New Zealand Banking Group,60.461
32,33,Banco Bradesco,58.976
33,34,National Australia Bank,58.046
34,35,Intesa Sanpaolo,56.443
35,36,Banco Bilbao Vizcaya Argentaria,55.211
36,37,Japan Post Bank,55.071
37,38,The Bank of New York Mellon,54.433
38,39,Shanghai Pudong Development Bank,53.498
39,40,Industrial Bank (China),52.217
40,41,Bank of China (Hong Kong),50.453
41,42,Bank of Montreal,48.389
42,43,Crédit Agricole,47.443
43,44,DBS Bank,46.837
44,45,Nordea,46.573
45,46,Capital One,46.502
46,47,Royal Bank of Scotland Group,45.941
47,48,Mizuho Financial Group,45.511
48,49,Credit Suisse,44.095
49,50,Postal Savings Bank of China,43.628
50,51,China Minsheng Bank,43.603
51,52,UniCredit,43.472
52,53,China CITIC Bank,43.175
53,54,Hang Seng Bank,42.011
54,55,Société Générale,41.902
55,56,Barclays,41.719
56,57,Canadian Imperial Bank of Commerce,39.62
57,58,Bank Central Asia,39.438
58,59,Truist Financial,38.146
59,60,Oversea-Chinese Banking Corp,37.635
60,61,State Bank of India,36.907
61,62,State Street,36.186
62,63,Deutsche Bank,35.167
63,64,KBC Bank,34.935
64,65,Danske Bank,34.779
65,66,Ping An Bank,34.57
66,67,Standard Chartered,33.956
67,68,United Overseas Bank,31.963
68,69,QNB Group,30.536
69,70,Bank Rakyat,30.1
